km/min,Liberia,Santa Cruz,Nicoya,Ciudad Quesada,Alajuela,Heredia,Puerto Viejo Sarapiquí,San José,San Isidro del General,Puntarenas,Quepos,Golfito,Cartago,Turrialba,Guápiles,Limón,Puerto Viejo Talamanca
Liberia,0,57.9,79.7,175,201,209,227,210,331,134,251,428,236,353,273,369,423
Santa Cruz,57,0,23.6,232,215,221,308,222,343,189,264,440,248,285,290,382,439
Nicoya,77,25,0,204,193,201,288,203,324,127,244,421,229,265,270,362,420
Ciudad Quesada,216,259,235,0,80.2,87.9,68.6,94.4,234,104,212,388,122,194,114,206,264
Alajuela,197,209,181,117,0,12.3,80.9,18.8,158,86.2,155,331,46.3,82.5,84,176,234
Heredia,219,208,192,127,26,0,82.2,10.8,150,93.8,162,339,38.4,74.6,63.9,156,214
Puerto Viejo de Sarapiquí,272,291,275,95,121,99,0,85.6,217,180,248,425,106,126,45.9,138,196
San José,204,231,214,146,30,28,103,0,140,96.3,165,341,28.1,64.3,67.4,159,217
San Isidro del General,335,341,325,318,205,202,273,179,0,214,79.4,174,118,157,201,262,320
Puntarenas,138,145,129,155,87,97,186,90,220,0,137,313,121,158,162,255,312
Quepos,247,252,237,248,154,164,252,159,90,145,0,179,189,157,171,263,321
Golfito,382,387,371,383,294,304,388,304,173,290,159,0,285,324,368,429,557
Cartago,259,266,250,189,70,67,137,45,158,148,214,302,0,41.4,87.7,146,204
Turrialba,316,322,307,231,131,128,136,103,218,206,271,363,65,0,82.6,106,163
Guápiles,298,305,288,142,105,85,47,84,253,182,269,390,117,97,0,94.5,152
Limón,372,377,362,227,195,176,139,180,323,266,348,470,181,121,97,0,58.4
Puerto Viejo de Talamanca,424,429,413,280,246,227,195,232,377,321,400,514,233,175,153,60,0
